node,environment,(unused),elapsedTime,epoch,iteration,accuracy,f1,precision,recall,gmeasure,mcc,score,before or after averaging,#peers included in current batch
5558, Figure 4.3 - bristle, 0, 35271, 3, 30, 0.8, 0.8030234900977934, 0.9021478521478523, 0.8, 0.824713940353513, 0.8089687198977054, 0.8241171271601061, before, 4
5560, Figure 4.3 - bristle, 0, 35567, 3, 30, 0.81, 0.7984630845042745, 0.8752133895516249, 0.8099999999999999, 0.819326414564696, 0.8032250056236802, 0.9293624978728813, before, 5
5564, Figure 4.3 - bristle, 0, 36273, 0, 20, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11006992481350027, 1.5734629207257769, before, 0
5564, Figure 4.3 - bristle, 0, 36692, 1, 20, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11006992481350027, 1.5734629207257769, before, -
5558, Figure 4.3 - bristle, 0, 36736, 3, 30, 0.72, 0.7191689601435194, 0.8883814102564103, 0.7200000000000001, 0.7553953589088453, 0.7356861544146976, 0.6653259596429736, before, -
5560, Figure 4.3 - bristle, 0, 37005, 3, 30, 0.69, 0.72334455667789, 0.8186105360018403, 0.69, 0.6797403202601603, NaN, 1.1007393744168639, before, -
5556, Figure 4.3 - bristle, 0, 37841, 3, 30, 0.77, 0.7994965546643654, 0.8384883634883635, 0.7700000000000001, 0.7387803751349463, NaN, 1.0892484581869135, before, 2
5556, Figure 4.3 - bristle, 0, 38525, 3, 30, 0.73, 0.8334988847170837, 0.8128205128205128, 0.7300000000000001, 0.6780921012267592, NaN, 0.7779225823866341, before, -
5578, Figure 4.3 - bristle, 0, 39027, 3, 30, 0.83, 0.820225591850306, 0.8646756021756022, 0.8299999999999998, 0.8329420553705342, 0.8170530315469747, 0.8928710346058437, before, 4
5572, Figure 4.3 - bristle, 0, 39594, 0, 20, 0.01, 0.008, 0.006666666666666666, 0.01, 0.008164965809277261, -0.1001972182893495, 1.8561017999456662, before, 7
5578, Figure 4.3 - bristle, 0, 39699, 3, 30, 0.73, 0.7730895480854351, 0.8294806216801102, 0.73, 0.715920177996682, NaN, 0.8428801523457454, before, -
5572, Figure 4.3 - bristle, 0, 40245, 1, 20, 0.01, 0.008, 0.006666666666666666, 0.01, 0.008164965809277261, -0.1001972182893495, 1.8561017999456662, before, -
5582, Figure 4.3 - bristle, 0, 40380, 3, 30, 0.8, 0.7815586244419196, 0.853258547008547, 0.8, 0.8019783961177371, 0.7846436639346946, 0.7685346768332203, before, 5
5580, Figure 4.3 - bristle, 0, 40833, 0, 20, 0.88, 0.8754201680672269, 0.9084415584415584, 0.8800000000000001, 0.8846607685975657, 0.8735063448766963, 1.0283924177827881, before, 9
5574, Figure 4.3 - bristle, 0, 41014, 3, 30, 0.72, 0.7149287355009917, 0.8295238095238094, 0.7200000000000001, 0.7423000364847594, 0.718641213120653, 0.9008913115294995, before, 7
5574, Figure 4.3 - bristle, 0, 41543, 3, 30, 0.62, 0.6617178315320731, 0.7523809523809524, 0.6200000000000001, 0.6207003108313698, NaN, 0.905969596459005, before, -
5582, Figure 4.3 - bristle, 0, 41807, 3, 30, 0.72, 0.7036848350046626, 0.8315754897276637, 0.72, 0.7341898168710823, 0.711538125414142, 0.7245218015585948, before, -
5580, Figure 4.3 - bristle, 0, 42255, 1, 20, 0.88, 0.8754201680672269, 0.9084415584415584, 0.8800000000000001, 0.8846607685975657, 0.8735063448766963, 1.0283924177827881, before, -
